Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
1990,X,SI,1B1ai4   Quema en antorcha de metano drenado o conversión de metano en CO2,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,F,SI,1B1aii   Minas de superficie,NA,NE,10.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,230.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.54,230.54
1990,D,SI,1B1aii1   Minería,NA,NE,8.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,177.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.34,177.34
1990,D,SI,1B1aii2   Emisiones posteriores a la minería,NA,NE,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,53.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.20,53.20
1990,X,SI,1B1b   Combustión espontánea y vertederos para quema de carbón,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,X,SI,1B1c   Transformación de combustibles sólidos,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,F,SI,1.B.2   Petróleo y gas natural,NA,100.06,91.44,6.38E-01,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"1,098.55",NE,NA,100.06,"1,920.33",197.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,218.09","2,218.09"
1990,F,SI,1B2a   Petróleo,NA,63.03,29.98,6.38E-01,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"1,095.07",NE,NA,63.03,629.53,197.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,890.21,890.21
1990,D,SI,1B2ai   Venteo,NA,3.33,26.84,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,63.32,NE,NA,3.33,563.56,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.89,566.89
1990,D,SI,1B2aii   Quema en antorcha,NA,4.45,6.14E-02,6.38E-01,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,0.64,NE,NA,4.45,1.29,197.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.40,203.40
